"zip","year","federal_awards","federal_dollars","state_awards","state_dollars"
10452,2006,0,0,4,44800
10452,2013,0,0,2,14600
10452,2014,1,10000,0,0
10452,2015,1,10000,8,97000
10453,2007,1,15000,0,0
10454,2011,1,75000,0,0
10454,2012,0,0,2,18000
10454,2013,0,0,2,18000
10454,2015,0,0,4,40000
10455,2005,1,20000,0,0
10455,2006,1,20000,0,0
10455,2007,1,20000,0,0
10455,2008,1,20000,0,0
10455,2009,2,45000,0,0
10455,2010,1,30000,0,0
10455,2011,1,25000,0,0
10455,2012,1,30000,0,0
10455,2013,1,30000,2,12000
10455,2014,1,20000,0,0
10455,2015,1,20000,0,0
10456,2005,1,4430,4,159200
10456,2006,1,30000,2,129200
10456,2007,1,40000,4,164000
10456,2008,2,192000,4,178400
10456,2009,3,1e+05,4,178400
10456,2010,3,107000,12,339000
10456,2011,2,169000,10,312022
10456,2012,3,78000,10,211000
10456,2013,2,60000,10,292100
10456,2014,3,230000,4,77000
10456,2015,2,60000,8,194000
10458,2005,2,646000,2,58000
10458,2006,1,150000,4,72000
10458,2007,1,140000,2,60900
10458,2008,1,147249,4,116000
10458,2009,0,0,4,116000
10458,2010,4,151038,4,127236
10458,2011,1,150000,4,61316
10458,2012,2,162000,6,94060
10458,2013,1,113167,6,91060
10458,2014,1,144824,0,0
10458,2015,3,1046457,4,98584
10459,2005,0,0,4,12000
10459,2006,0,0,4,12000
10459,2007,0,0,2,7350
10459,2008,0,0,4,20000
10459,2009,0,0,4,27600
10459,2010,0,0,2,16784
10459,2011,0,0,8,95384
10459,2012,0,0,8,80400
10459,2013,0,0,2,19200
10459,2015,1,10000,4,25000
10460,2005,1,996236,4,41200
10460,2006,2,380620,4,41200
10460,2007,2,179775,4,40400
10460,2008,0,0,4,44400
10460,2009,0,0,2,30000
10460,2010,1,149991,6,47700
10460,2011,1,138996,4,29868
10460,2012,0,0,4,21000
10460,2013,1,117139,4,21000
10460,2015,0,0,4,25000
10461,2005,2,55000,12,570500
10461,2006,3,90000,10,520500
10461,2007,2,45000,14,628500
10461,2008,3,55000,20,731800
10461,2009,3,1e+05,18,742000
10461,2010,2,50000,18,663808
10461,2011,3,66000,20,559966
10461,2012,1,20000,16,469180
10461,2013,2,60000,14,460680
10461,2014,1,30000,0,0
10461,2015,3,85000,16,471300
10462,2010,1,10000,0,0
10462,2011,1,20000,0,0
10462,2012,1,15000,2,20000
10462,2013,0,0,2,20000
10462,2014,1,10000,0,0
10462,2015,0,0,2,20000
10463,2005,0,0,2,16400
10463,2006,0,0,2,17000
10463,2008,0,0,2,43800
10463,2009,0,0,4,51000
10463,2010,0,0,4,55000
10463,2011,0,0,8,75360
10463,2012,0,0,4,59000
10463,2013,0,0,6,186000
10463,2015,0,0,4,80000
10464,2009,0,0,2,26000
10464,2011,0,0,2,35604
10464,2014,0,0,2,10000
10464,2015,0,0,2,10000
10467,2005,2,30000,4,93400
10467,2006,0,0,8,118400
10467,2007,1,10000,4,110200
10467,2008,0,0,4,145800
10467,2009,0,0,6,194600
10467,2010,1,15000,4,152562
10467,2011,1,20000,6,225294
10467,2012,1,25000,16,560000
10467,2013,1,50000,4,140000
10467,2014,2,65000,0,0
10467,2015,2,50000,4,141000
10468,2005,1,107161,14,141600
10468,2006,2,15000,14,153200
10468,2007,2,30000,14,149290
10468,2008,1,150000,10,116200
10468,2009,1,5000,12,102400
10468,2010,2,30000,10,139618
10468,2011,2,170000,12,149536
10468,2012,0,0,14,142220
10468,2013,2,50000,14,159100
10468,2014,0,0,2,40000
10468,2015,0,0,8,126100
10469,2012,1,25000,0,0
10471,2005,2,22000,14,173000
10471,2006,2,20000,18,136400
10471,2007,0,0,12,105400
10471,2008,3,154375,8,59200
10471,2009,4,110000,8,55400
10471,2010,2,50000,14,99302
10471,2011,1,55000,14,126548
10471,2012,1,55000,8,75720
10471,2013,1,25000,10,168720
10471,2014,1,20000,0,0
10471,2015,1,20000,8,76800
10473,2009,0,0,2,1800
10474,2005,1,30000,0,0
10474,2006,0,0,2,14600
10474,2007,1,25000,4,22330
10474,2008,2,40000,10,59000
10474,2009,2,65000,6,45400
10474,2010,1,50000,6,39618
10474,2011,0,0,6,32834
10474,2012,0,0,8,44420
10474,2013,1,30000,8,62900
10474,2015,0,0,2,5960
11004,2015,0,0,2,22000
11101,2005,2,65000,24,317400
11101,2006,2,65000,30,352600
11101,2007,3,90000,34,410900
11101,2008,3,128000,40,464960
11101,2009,5,168000,36,364404
11101,2010,3,95000,36,391364
11101,2011,6,145000,40,465126
11101,2012,4,80000,22,297360
11101,2013,4,75000,34,423020
11101,2014,2,50000,0,0
11101,2015,3,70000,42,729600
11102,2005,0,0,6,62600
11102,2006,0,0,4,57600
11102,2007,0,0,4,66300
11102,2008,0,0,4,81800
11102,2009,0,0,2,62000
11102,2010,0,0,4,69180
11102,2011,0,0,4,34812
11102,2012,1,25000,2,30000
11102,2013,0,0,2,30000
11102,2015,1,13000,0,0
11103,2005,0,0,2,6000
11103,2006,0,0,2,6000
11103,2007,0,0,2,6300
11103,2008,1,10000,0,0
11103,2010,0,0,4,87620
11103,2011,0,0,2,8308
11103,2012,0,0,2,6000
11103,2013,0,0,2,6000
11103,2014,1,10000,0,0
11103,2015,0,0,2,10000
11104,2005,1,10000,10,200200
11104,2006,1,12000,6,168200
11104,2007,1,15000,6,180100
11104,2008,0,0,8,243000
11104,2009,1,15000,8,275000
11104,2010,1,20000,6,191840
11104,2011,2,32500,4,174262
11104,2012,0,0,10,184640
11104,2013,1,20000,8,225440
11104,2015,2,20000,8,259600
11105,2005,0,0,10,65000
11105,2006,0,0,10,59600
11105,2007,0,0,8,44790
11105,2008,0,0,8,46180
11105,2009,0,0,6,40800
11105,2010,0,0,6,25414
11105,2011,0,0,2,11868
11106,2005,3,75000,14,297800
11106,2006,3,205000,18,344430
11106,2007,3,42500,18,477510
11106,2008,3,85000,16,366400
11106,2009,3,125000,10,390000
11106,2010,4,848999,12,336700
11106,2011,3,135000,10,206702
11106,2012,4,232095,16,327800
11106,2013,3,90000,14,301000
11106,2014,4,244674,6,84000
11106,2015,1,30000,16,317000
11201,2005,23,852987,56,865600
11201,2006,18,659907,66,1149400
11201,2007,17,582000,66,1255650
11201,2008,21,745500,62,1505844
11201,2009,34,1255000,44,1231200
11201,2010,23,925500,108,4647840
11201,2011,23,1202838,92,3961840
11201,2012,18,610500,128,3914580
11201,2013,20,6e+05,112,3931680
11201,2014,19,767000,14,95720
11201,2015,21,820000,112,3891090
11202,2014,1,25000,0,0
11203,2005,1,10000,6,22000
11203,2006,1,10000,2,10000
11203,2007,2,20000,2,14000
11203,2008,1,10000,8,116200
11203,2009,1,10000,6,59000
11203,2010,1,10000,12,129322
11203,2011,1,10000,8,146174
11203,2012,1,10000,8,114740
11203,2013,1,10000,6,99140
11203,2014,1,10000,0,0
11203,2015,0,0,4,47600
11204,2007,1,10000,0,0
11204,2008,1,18000,0,0
11204,2009,1,25000,0,0
11204,2010,1,20000,0,0
11204,2011,1,13000,0,0
