"zip","year","awards","dollars"
10028,2016,8,287064
10029,1987,78,914000
10029,1988,58,679878
10029,1989,122,1379650
10029,1990,126,1481390
10029,1991,86,1130204
10029,1992,90,618690
10029,1993,52,471846
10029,1994,58,634238
10029,1995,60,668202
10029,1996,46,512520
10029,1997,58,562512
10029,1998,34,612946
10029,1999,36,633634
10029,2000,46,854170
10029,2001,40,798400
10029,2002,44,855700
10029,2003,52,868400
10029,2004,42,718882
10029,2005,44,922600
10029,2006,62,982200
10029,2007,58,1124260
10029,2008,68,1238000
10029,2009,40,878800
10029,2010,40,754730
10029,2011,40,666388
10029,2012,38,614090
10029,2013,30,569920
10029,2014,8,126782
10029,2015,26,492082
10029,2016,28,570990
10030,1987,24,339000
10030,1988,16,321274
10030,1989,16,244500
10030,1990,16,646700
10030,1991,18,330880
10030,1992,20,229910
10030,1993,18,256848
10030,1994,20,456324
10030,1995,22,696522
10030,1996,20,521532
10030,1997,18,684956
10030,1998,14,639168
10030,1999,12,648102
10030,2000,22,6e+05
10030,2001,20,522182
10030,2002,12,494400
10030,2003,18,536600
10030,2004,20,466160
10030,2005,22,575400
10030,2006,14,483200
10030,2007,16,500790
10030,2008,12,681600
10030,2009,8,549400
10030,2010,10,268932
10030,2011,8,78922
10030,2012,20,161480
10030,2013,14,121240
10030,2015,12,118200
10030,2016,4,40000
10031,1987,32,330400
10031,1988,46,974600
10031,1989,30,1017800
10031,1990,30,1127560
10031,1991,24,906800
10031,1992,30,573398
10031,1993,24,461856
10031,1994,24,528886
10031,1995,26,560710
10031,1996,40,586306
10031,1997,50,670894
10031,1998,38,784838
10031,1999,46,941000
10031,2000,42,1078840
10031,2001,36,1084232
10031,2002,46,1147038
10031,2003,36,991200
10031,2004,32,786700
10031,2005,36,652900
10031,2006,30,631600
10031,2007,32,619850
10031,2008,20,507700
10031,2009,10,240800
10031,2010,20,594528
10031,2011,16,444062
10031,2012,14,296700
10031,2013,16,382700
10031,2014,4,162680
10031,2015,12,319612
10031,2016,18,500612
10032,1987,20,285750
10032,1988,22,276550
10032,1989,34,344988
10032,1990,6,24000
10032,1991,6,10200
10032,1992,4,3640
10032,1993,2,1000
10032,1995,2,16000
10032,1996,4,16792
10032,1997,2,6000
10032,1998,4,27000
10032,1999,6,54200
10032,2000,2,21200
10032,2001,8,74000
10032,2002,8,83000
10032,2003,4,42000
10032,2004,6,39200
10032,2005,4,28400
10032,2006,6,40200
10032,2007,8,49280
10032,2008,4,33600
10032,2009,6,48800
10032,2010,10,73540
10032,2011,12,82284
10032,2012,16,123020
10032,2013,16,153460
10032,2015,16,145060
10032,2016,8,56544
10033,1987,4,4000
10033,1988,10,26000
10033,1989,14,40000
10033,1990,18,72000
10033,1991,8,52000
10033,1992,4,29400
10033,1993,12,56050
10033,1994,2,6960
10033,1995,4,42000
10033,1996,4,13510
10033,1997,2,12600
10033,1998,4,14000
10033,1999,4,7000
10033,2000,2,4000
10033,2001,2,5000
10033,2002,4,12200
10033,2003,2,5000
10033,2004,4,43200
10033,2005,4,25800
10033,2006,6,30000
10033,2007,4,20300
10033,2008,2,15000
10033,2009,4,19800
10033,2010,6,23822
10033,2011,6,32242
10033,2012,20,223680
10033,2013,14,91280
10033,2014,4,16000
10033,2015,8,51600
10033,2016,6,41600
10034,2005,2,9800
10034,2006,2,9800
10034,2007,2,9920
10034,2008,6,43000
10034,2009,4,23000
10034,2010,4,25000
10034,2011,6,26506
10034,2012,4,23330
10034,2013,4,22000
10034,2015,8,52000
10034,2016,12,87000
10035,1987,4,33000
10035,1988,4,33600
10035,1989,4,34000
10035,1990,6,54000
10035,1991,4,93740
10035,1992,6,43536
10035,1993,8,101656
10035,1994,4,80000
10035,1995,6,180000
10035,1996,8,175824
10035,1997,22,244274
10035,1998,12,189200
10035,1999,10,204600
10035,2000,4,194000
10035,2001,4,204000
10035,2002,4,183600
10035,2003,12,217600
10035,2004,8,171000
10035,2005,8,178600
10035,2006,4,66000
10035,2007,8,121000
10035,2008,14,276000
10035,2009,6,187600
10035,2010,6,88000
10035,2011,10,104440
10035,2012,12,134520
10035,2013,10,132000
10035,2014,4,74000
10035,2015,4,79734
10035,2016,10,208684
10036,1986,2,17780
10036,1987,184,2857950
10036,1988,168,2758110
10036,1989,196,2409560
10036,1990,138,2513568
10036,1991,132,2315600
10036,1992,168,1244822
10036,1993,108,991850
10036,1994,90,979976
10036,1995,118,1243098
10036,1996,116,1147424
10036,1997,132,1246402
10036,1998,100,1225052
10036,1999,124,1607230
10036,2000,114,1892870
10036,2001,130,2508016
10036,2002,114,2004550
10036,2003,116,1985750
10036,2004,116,1633982
10036,2005,122,1823400
10036,2006,110,1676000
