Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10017,1997,18,"$113,866",New York
10017,1998,2,"$4,800",Connecticut
10017,1998,10,"$99,492",New York
10017,1999,16,"$136,438",New York
10018,1987,96,"$796,242",New York
10018,1988,96,"$1,078,836",New York
10018,1989,2,"$29,076",New England Foundation for the Arts
10018,1989,82,"$900,046",New York
10018,1990,64,"$721,454",New York
10018,1991,48,"$491,560",New York
10018,1992,64,"$374,112",New York
10018,1993,2,$250,Connecticut
10018,1993,20,"$170,194",New York
10018,1994,2,$300,Connecticut
10018,1994,30,"$332,058",New York
10018,1995,20,"$222,600",New York
10018,1996,24,"$231,748",New York
10018,1997,18,"$188,332",New York
10018,1998,44,"$778,592",New York
10018,1999,72,"$1,419,306",New York
10019,1986,2,"$3,096",Maine
10019,1986,2,"$4,000",Pennsylvania
10019,1987,176,"$4,658,040",New York
10019,1987,4,"$8,000",Puerto Rico
10019,1988,182,"$4,527,204",New York
10019,1988,4,$146,Utah
10019,1989,2,$336,Mid Atlantic Arts Foundation
10019,1989,166,"$4,243,400",New York
10019,1989,6,$122,Utah
10019,1990,154,"$4,380,266",New York
10019,1990,2,"$7,750",South Dakota
10019,1990,10,$238,Utah
10019,1991,122,"$3,345,240",New York
10019,1991,2,"$5,000",South Dakota
10019,1991,2,$48,Utah
10019,1991,2,"$3,100",Washington
10019,1992,122,"$1,847,420",New York
10019,1993,2,"$4,000",Kentucky
10019,1993,80,"$1,448,418",New York
10019,1994,116,"$1,808,012",New York
10019,1995,140,"$2,070,360",New York
10019,1996,2,"$30,000",Delaware
10019,1996,106,"$1,419,676",New York
10019,1997,130,"$1,850,726",New York
10019,1997,2,$400,Utah
10019,1998,96,"$1,891,300",New York
10019,1999,2,"$3,376",Mid Atlantic Arts Foundation
10019,1999,80,"$1,675,812",New York
10020,1987,14,"$24,040",Puerto Rico
10020,1988,10,"$20,000",Puerto Rico
10021,1987,78,"$935,300",New York
10021,1988,2,"$1,500",Minnesota
10021,1988,78,"$882,200",New York
10021,1989,86,"$1,005,000",New York
10021,1990,84,"$1,190,886",New York
10021,1991,2,"$17,698",Maine
10021,1991,72,"$981,502",New York
10021,1991,4,"$20,000",North Carolina
10021,1991,2,"$1,000",Puerto Rico
10021,1992,74,"$659,602",New York
10021,1993,46,"$470,190",New York
10021,1994,44,"$552,014",New York
10021,1995,6,"$19,450",Mid Atlantic Arts Foundation
10021,1995,58,"$729,700",New York
10021,1996,2,"$5,000",Mid Atlantic Arts Foundation
10021,1996,56,"$658,304",New York
10021,1997,70,"$648,178",New York
10021,1998,50,"$550,152",New York
10021,1999,2,"$23,280",Mid Atlantic Arts Foundation
10021,1999,42,"$524,524",New York
10022,1987,30,"$374,000",New York
10022,1987,4,"$6,400",Puerto Rico
10022,1988,2,"$7,000",Mid Atlantic Arts Foundation
10022,1988,32,"$381,000",New York
10022,1988,2,"$4,000",Puerto Rico
10022,1988,2,$140,Utah
10022,1989,34,"$334,600",New York
10022,1990,28,"$387,010",New York
10022,1991,32,"$532,608",New York
10022,1992,34,"$346,276",New York
10022,1993,32,"$379,218",New York
10022,1993,2,"$244,994",Washington
10022,1994,38,"$488,918",New York
10022,1995,44,"$565,622",New York
10022,1996,40,"$465,862",New York
10022,1997,56,"$633,078",New York
10022,1998,34,"$678,184",New York
10022,1998,2,"$3,000",Wisconsin
10022,1999,44,"$770,062",New York
10023,1986,2,"$17,000",New Jersey
10023,1986,2,"$1,812",Utah
10023,1987,2,"$10,000",Maryland
10023,1987,4,"$268,000",New Jersey
10023,1987,190,"$7,443,518",New York
10023,1987,2,"$4,000",Vermont
10023,1988,2,"$26,000",New Jersey
10023,1988,196,"$7,659,916",New York
10023,1989,2,"$26,000",New Jersey
10023,1989,264,"$8,414,468",New York
10023,1990,4,"$209,900",New Jersey
10023,1990,194,"$8,774,572",New York
10023,1990,4,"$2,900",Puerto Rico
10023,1991,164,"$7,078,480",New York
10023,1991,4,"$3,400",Puerto Rico
10023,1991,2,"$2,000",South Carolina
10023,1992,170,"$3,681,186",New York
10023,1992,2,"$9,000",Washington
10023,1993,124,"$2,978,722",New York
10023,1993,4,"$1,500",Washington
10023,1994,112,"$3,314,772",New York
10023,1995,2,"$15,000",Massachusetts
10023,1995,154,"$4,021,916",New York
10023,1996,2,"$9,000",Mid Atlantic Arts Foundation
