"zip","year","independent_artists","art_firms"
11207,2012,0,2
11207,2013,0,4
11207,2014,1,4
11207,2015,0,2
11208,2005,2,4
11208,2006,2,4
11208,2007,1,4
11208,2008,1,0
11208,2009,1,0
11208,2010,2,0
11208,2011,1,0
11208,2012,1,0
11208,2013,1,0
11208,2014,2,0
11208,2015,2,0
11209,2005,2,4
11209,2006,4,2
11209,2007,4,8
11209,2008,3,9
11209,2009,4,6
11209,2010,6,6
11209,2011,5,6
11209,2012,4,11
11209,2013,4,13
11209,2014,3,23
11209,2015,5,23
11210,2005,2,4
11210,2006,1,9
11210,2007,0,2
11210,2008,0,6
11210,2009,0,6
11210,2010,0,6
11210,2011,1,6
11210,2012,2,10
11210,2013,3,6
11210,2014,2,4
11210,2015,2,2
11211,2005,17,104
11211,2006,20,150
11211,2007,19,133
11211,2008,24,101
11211,2009,28,125
11211,2010,28,140
11211,2011,36,158
11211,2012,33,180
11211,2013,40,193
11211,2014,42,209
11211,2015,45,248
11212,2005,1,4
11212,2006,1,2
11212,2007,1,2
11212,2008,0,4
11212,2009,0,2
11212,2010,1,6
11212,2011,0,30
11212,2012,1,30
11212,2013,1,0
11212,2014,3,2
11212,2015,3,0
11213,2005,1,219
11213,2006,0,226
11213,2007,2,221
11213,2008,0,232
11213,2009,1,232
11213,2010,1,249
11213,2011,1,245
11213,2012,2,249
11213,2013,1,266
11213,2014,1,125
11213,2015,2,143
11214,2005,2,16
11214,2006,2,20
11214,2007,1,16
11214,2008,3,14
11214,2009,1,10
11214,2010,1,12
11214,2011,1,14
11214,2012,1,18
11214,2013,1,21
11214,2014,4,15
11214,2015,2,8
11215,2005,27,135
11215,2006,25,168
11215,2007,33,177
11215,2008,42,133
11215,2009,41,149
11215,2010,44,152
11215,2011,43,174
11215,2012,56,184
11215,2013,51,210
11215,2014,51,243
11215,2015,58,357
11216,2005,2,7
11216,2006,3,7
11216,2007,2,34
11216,2008,5,33
11216,2009,4,26
11216,2010,5,41
11216,2011,7,45
11216,2012,8,53
11216,2013,7,56
11216,2014,8,70
11216,2015,8,68
11217,2005,12,208
11217,2006,11,231
11217,2007,16,265
11217,2008,18,329
11217,2009,20,304
11217,2010,21,264
11217,2011,20,259
11217,2012,24,389
11217,2013,26,504
11217,2014,22,416
11217,2015,30,501
11218,2005,3,14
11218,2006,2,16
11218,2007,4,45
11218,2008,1,65
11218,2009,1,74
11218,2010,3,64
11218,2011,4,51
11218,2012,3,81
11218,2013,4,78
11218,2014,4,83
11218,2015,8,91
11219,2005,5,2
11219,2006,1,15
11219,2007,2,11
11219,2008,0,6
11219,2009,0,8
11219,2010,1,10
11219,2011,1,10
11219,2012,1,18
11219,2013,1,12
11219,2014,1,10
11219,2015,2,12
11220,2005,1,13
